RSGGMC-112251,articles.I-N\Nat_Chem_Biol\Nat_Chem_Biol_2009_Feb_4_5(2)_100-107.nxml,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer,nature chemical biology,"Chen, Baozhi & Dodge, Michael E. & Tang, Wei & Lu, Jianming & Ma, Zhiqiang & Fan, Chih-Wei & Wei, Shuguang & Hao, Wayne & Kilgore, Jessica & Williams, Noelle S. & Roth, Michael G. & Amatruda, James F. & Chen, Chuo & Lum, Lawrence",422
RSG-03-048-01,articles.I-N\Int_J_Biol_Sci\Int_J_Biol_Sci_2011_May_5_7(5)_567-574.nxml,miR 148a Promoted Cell Proliferation by Targeting p27 in Gastric Cancer Cells,international journal of biological sciences,"Guo, Shui-Long & Peng, Zheng & Yang, Xue & Fan, Kai-Ji & Ye, Hui & Li, Zhen-Hua & Wang, Yan & Xu, Xiao-Li & Li, Jun & Wang, You-Liang & Teng, Yan & Yang, Xiao",
RSG-03-048-01,articles.O-Z\Virol_J\Virol_J_2007_Apr_2_4_36.nxml,Infection of hepatitis B virus in extrahepatic endothelial tissues mediated by endothelial progenitor cells,virology journal,"Rong, Qifei & Huang, Jun & Su, Enben & Li, Jun & Li, Jianyong & Zhang, Lili & Cao, Kejiang",
RSG-03-048-01,articles.C-H\Evid_Based_Complement_Alternat_Med\Evid_Based_Complement_Alternat_Med_2011_Jun_18_2011_307548.nxml,"A Chinese Herbal Decoction, Danggui Buxue Tang, Stimulates Proliferation, Differentiation and Gene Expression of Cultured Osteosarcoma Cells: Genomic Approach to Reveal Specific Gene Activation",evidence-based complementary and alternative medicine : ecam,"Choi, Roy C. Y. & Gao, Qiu T. & Cheung, Anna W. H. & Zhu, Judy T. T. & Lau, Faye T. C. & Li, Jun & Li, Winnie Z. M. & Chu, Glanice K. Y. & Duan, Ran & Cheung, Jerry K. H. & Ding, An W. & Zhao, Kui J. & Dong, Tina T. X. & Tsim, Karl W. K.",
RSG-03-048-01,articles.C-H\Clin_Dev_Immunol\Clin_Dev_Immunol_2010_Mar_30_2010_614890.nxml,Effects of Splenectomy on Spontaneously Chronic Pancreatitis in aly/aly Mice,clinical and developmental immunology,"Wang, Heng-Xiao & Yi, Shuang-Qin & Li, Jun & Terayama, Hayato & Naito, Munekazu & Hirai, Shuichi & Qu, Ning & Yi, Nozomi & Itoh, Masahiro",
RSG-03-048-01,articles.A-B\BMC_Cancer\BMC_Cancer_2012_Sep_11_12_406.nxml,Bmi 1 promotes the aggressiveness of glioma via activating the NF kappaB/MMP 9 signaling pathway,bmc cancer,"Jiang, Lili & Wu, Jueheng & Yang, Yi & Liu, Liping & Song, Libing & Li, Jun & Li, Mengfeng",
RSG-03-048-01,articles.O-Z\Reprod_Biol_Endocrinol\Reprod_Biol_Endocrinol_2014_Feb_6_12_15.nxml,"Hyperleptinemia directly affects testicular maturation at different sexual stages in mice, and suppressor of cytokine signaling 3 is involved in this process",reproductive biology and endocrinology : rb&e,"Yuan, Miao & Huang, Guizhen & Li, Jun & Zhang, Jie & Li, Fei & Li, Kai & Gao, Bo & Zeng, Li & Shan, Wei & Lin, Ping & Huang, Lugang",
RSG-03-048-01,articles.C-H\Emerg_Infect_Dis\Emerg_Infect_Dis_2013_Dec_19(12)_2048-2049.nxml,"Porcine Epidemic Diarrhea Virus Variants with High Pathogenicity, China Porcine Epidemic Diarrhea Virus, China",emerging infectious diseases,"Wang, Jinbao & Zhao, Pengwei & Guo, Lihui & Liu, Yueyue & Du, Yijun & Ren, Sufang & Li, Jun & Zhang, Yuyu & Fan, Yufeng & Huang, Baohua & Liu, Sidang & Wu, Jiaqiang",
RSG-03-048-01,articles.I-N\Nucleic_Acids_Res\Nucleic_Acids_Res_2012_Jul_8_40(Web_Server_issue)_W123-W126.nxml,SurvNet: a web server for identifying network based biomarkers that most correlate with patient survival data,nucleic acids research,"Li, Jun & Roebuck, Paul & Gr&#x000fc;newald, Stefan & Liang, Han",
RSG-03-048-01,articles.I-N\Int_J_Biol_Sci\Int_J_Biol_Sci_2012_Jun_16_8(6)_882-890.nxml,Transient and Stable GFP Expression in Germ Cells by the vasa Regulatory Sequences from the Red Seabream ( Pagrus major ),international journal of biological sciences,"Lin, Fan & Liu, Qinghua & Li, Mingyou & Li, Zhendong & Hong, Ni & Li, Jun & Hong, Yunhan",
RSG-03-048-01,articles.I-N\J_Radiat_Res\J_Radiat_Res_2013_Mar_11_54(2)_203-209.nxml,Radioprotective effect on HepG2 cells of low concentrations of cobalt chloride: induction of hypoxia inducible factor 1 alpha and clearance of reactive oxygen species,journal of radiation research,"Jin, Wensen & Wang, Juan & Xu, Shiguo & Xiao, Linlin & Chen, Guangfu & Zhang, Wukui & Li, Jun",
RSG-03-048-01,articles.I-N\Nucleic_Acids_Res\Nucleic_Acids_Res_2012_Jan_21_40(D1)_D1221-D1229.nxml,LegumeIP: an integrative database for comparative genomics and transcriptomics of model legumes,nucleic acids research,"Li, Jun & Dai, Xinbin & Liu, Tingsong & Zhao, Patrick Xuechun",
RSG-03-048-01,articles.A-B\BMC_Cancer\BMC_Cancer_2014_Feb_3_14_57.nxml,"Downregulation of Smurf2, a tumor suppressive ubiquitin ligase, in triple negative breast cancers: Involvement of the RB microRNA axis",bmc cancer,"Liu, Xianpeng & Gu, Xin & Sun, Limin & Flowers, Ashley B & Rademaker, Alfred W & Zhou, Yiran & Kiyokawa, Hiroaki",
